run_kind,scenario_dir,label,log_file,num_val_points,best_steps_episode,best_mean_steps,best_steps_return,best_return_episode,best_mean_return,best_return_steps,final_episode,final_mean_steps,final_mean_return,smoothed_final_steps,smoothed_final_return
baseline,highway_standard,Baseline,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000700_0.30_0.99800_4_0.1500_roadhighway_tfstandard_rep42.txt,53,424,135.6000,203.2949,1099,251.9559,124.6000,1324,50.8000,99.9974,63.4667,128.3929
ours,highway_standard,Ours,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000400_0.28_0.99800_4_0.1200_ro768_mb192_lam0.99_rs0.90_gc0.40_adaptive_roadhighway_tfstandard_seed37.txt,27,649,200.0000,207.8753,24,262.1340,124.2000,674,36.4000,78.2820,97.2667,133.2619
baseline,highway_dense,Baseline,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000600_0.35_0.99800_4_0.1500_roadhighway_tfdense_rep42.txt,36,624,99.6000,181.6613,524,183.5013,94.8000,899,20.6000,32.2501,35.2667,58.2869
ours,highway_dense,Ours,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000320_0.18_0.99800_4_0.1200_ro896_mb224_lam0.99_rs0.90_gc0.40_adaptive_roadhighway_tfdense_te8_seed42.txt,42,574,181.2000,214.2059,574,214.2059,181.2000,1049,40.6000,74.7621,56.9333,81.0543
