episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
2400,127.903855,27.930709,110.618621,0.515140,0.033510,0.469607,0.318680,0.051193,0.330366,23.625020,0.929496,23.511075,140.211993,7.602859,131.567680,0.685420,0.076668,0.616639,0.263040,0.075377,0.270228,25.099520,0.841180,24.862650
2500,113.914840,18.156667,111.442676,0.432860,0.062498,0.460420,0.322880,0.025037,0.328495,24.281500,0.450523,23.703682,141.733769,18.002811,134.109202,0.642620,0.093875,0.623134,0.206300,0.050370,0.254246,25.632520,1.101368,25.055118
2600,151.206605,13.364158,121.383658,0.447740,0.018399,0.457250,0.300600,0.045083,0.321521,24.275280,0.664316,23.846581,136.942719,18.972810,134.817581,0.669060,0.095854,0.634616,0.234900,0.058760,0.249410,25.529060,1.075229,25.173603
2700,107.944026,10.524170,118.023750,0.574220,0.062489,0.486493,0.344960,0.022645,0.327381,24.542120,0.377416,24.020466,182.144684,22.073521,146.649357,0.696900,0.093037,0.650187,0.238760,0.071537,0.246747,25.914700,0.899038,25.358878
2800,114.817329,27.379672,117.222145,0.577860,0.047820,0.509334,0.319340,0.048859,0.325371,24.815240,0.713998,24.219159,154.033670,33.733493,148.495435,0.681360,0.089169,0.657980,0.212680,0.048346,0.238230,26.021120,1.015496,25.524438
2900,139.853363,27.621401,122.879949,0.486060,0.056438,0.503516,0.326560,0.044280,0.325668,25.106460,1.205058,24.440985,176.014619,9.391008,155.375231,0.677300,0.073015,0.662810,0.181520,0.049600,0.224053,25.644860,1.109431,25.554544
3000,130.329360,31.748824,124.742302,0.517520,0.063609,0.507017,0.276440,0.046218,0.313361,25.475400,0.243614,24.699588,173.584471,13.778155,159.927541,0.711380,0.100322,0.674953,0.239400,0.068553,0.227890,26.026600,0.983329,25.672558
3100,115.656621,8.508008,122.470882,0.500940,0.061679,0.505498,0.297640,0.036977,0.309431,24.239820,0.512198,24.584646,170.369981,18.822842,162.538151,0.708860,0.078428,0.683429,0.209560,0.057819,0.223307,26.431560,1.103211,25.862308
3200,114.342634,28.551191,120.438820,0.560480,0.033177,0.519243,0.297980,0.048902,0.306568,24.424740,0.378688,24.544670,163.607920,22.308163,162.805593,0.710420,0.119223,0.690177,0.167380,0.057125,0.209325,25.479500,0.925560,25.766606
3300,125.168163,18.024288,121.621156,0.591620,0.053525,0.537337,0.301540,0.016812,0.305311,24.414280,0.416328,24.512072,168.496925,18.162433,164.228426,0.724160,0.051949,0.698673,0.219320,0.065024,0.211824,26.950520,0.766975,26.062585
3400,144.806499,17.488803,127.417491,0.572580,0.046012,0.546148,0.286300,0.040875,0.300558,25.108320,1.034859,24.661134,174.799957,37.261790,166.871309,0.728860,0.093784,0.706220,0.175480,0.049968,0.202738,26.050600,0.358982,26.059588
3500,128.221520,16.597828,127.618499,0.618980,0.062021,0.564356,0.310880,0.037832,0.303139,24.445480,0.750813,24.607221,163.417081,35.223650,166.007752,0.739600,0.082272,0.714565,0.191180,0.058905,0.199849,26.600900,1.135705,26.194916
3600,140.511712,14.845202,130.841802,0.606980,0.029841,0.575012,0.257080,0.021838,0.291624,24.507360,0.898931,24.582256,144.806136,43.517379,160.707348,0.734500,0.086300,0.719549,0.162640,0.047340,0.190546,27.006680,0.352955,26.397857
3700,168.090862,12.287594,140.154067,0.584560,0.071756,0.577399,0.265180,0.020550,0.285013,26.164380,1.045680,24.977787,143.166635,32.096979,156.322170,0.721620,0.082500,0.720066,0.155240,0.049008,0.181720,26.288340,0.761019,26.370478
3800,170.963523,21.725373,147.856431,0.605080,0.037220,0.584319,0.310000,0.045921,0.291260,25.124800,0.861630,25.014540,152.648123,28.823064,155.403658,0.705600,0.084529,0.716450,0.154260,0.057048,0.174855,26.982480,0.855128,26.523478
3900,150.667110,35.322102,148.559101,0.646320,0.069692,0.599819,0.279040,0.043313,0.288205,25.773860,1.041702,25.204370,164.634238,20.946239,157.711303,0.752460,0.103999,0.725452,0.142880,0.041054,0.166861,26.984980,0.473109,26.638854
4000,158.982851,14.133690,151.165038,0.645040,0.065091,0.611125,0.259780,0.029674,0.281099,26.246500,1.307571,25.464902,157.399736,20.094517,157.633411,0.773300,0.091229,0.737414,0.160100,0.050723,0.165171,27.142460,0.557228,26.764755
4100,160.314674,13.346083,153.452447,0.642700,0.040539,0.619018,0.241900,0.035190,0.271299,26.130920,0.298531,25.631407,172.370441,24.958927,161.317669,0.757980,0.059975,0.742556,0.167820,0.049275,0.165833,26.877920,1.300531,26.793047
4200,143.215347,10.444478,150.893172,0.610400,0.035917,0.616864,0.246020,0.028331,0.264979,26.089420,0.643798,25.745910,182.635414,19.443416,166.647105,0.763040,0.070421,0.747677,0.130180,0.051807,0.156920,26.831320,0.918117,26.802615
4300,127.251116,33.896045,144.982658,0.568560,0.028761,0.604788,0.289860,0.044926,0.271199,26.195480,0.814148,25.858303,192.775197,26.161428,173.179128,0.742860,0.081641,0.746473,0.131720,0.063389,0.150620,27.211420,0.761414,26.904816
4400,128.288713,24.369899,140.809172,0.659740,0.056761,0.618526,0.276180,0.048766,0.272445,25.500340,0.546188,25.768812,171.825070,33.743152,172.840613,0.810620,0.071221,0.762509,0.120160,0.047044,0.143005,27.136000,0.642502,26.962612
4500,136.840565,35.508545,139.817020,0.599020,0.037378,0.613649,0.257720,0.045699,0.268763,24.878220,0.595018,25.546164,178.360152,19.251826,174.220498,0.790060,0.075255,0.769397,0.135600,0.060025,0.141154,27.151100,0.301761,27.009734
4600,119.999085,18.699553,134.862536,0.679900,0.051832,0.630212,0.252720,0.036762,0.264753,25.808920,0.461307,25.611853,190.384607,14.158211,178.261525,0.761260,0.101461,0.767363,0.154100,0.069441,0.144390,27.216640,0.474063,27.061461
