run_kind,scenario_dir,label,log_file,num_val_points,best_return_episode,best_mean_return,best_return_steps,final_episode,final_mean_return,final_mean_steps,smoothed_final_return
baseline,highway_dense,Baseline,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000600_0.35_0.99800_4_0.1500_roadhighway_tfdense_rep42.txt,36,524,183.5013,94.8000,899,32.2501,20.6000,58.2869
ours,highway_dense,Ours,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000320_0.18_0.99800_4_0.1200_ro896_mb224_lam0.99_rs0.90_gc0.40_adaptive_roadhighway_tfdense_te8_seed42.txt,42,574,214.2059,181.2000,1049,74.7621,40.6000,81.0543
