episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
2400,93.561189,26.031537,90.182280,0.422920,0.034137,0.385652,0.466840,0.077255,0.457329,23.755500,0.863788,23.068288,98.020224,20.412402,97.895544,0.479240,0.044454,0.424016,0.367680,0.027607,0.385838,23.663480,1.035922,23.117595
2500,109.241458,43.264704,94.947075,0.454880,0.057031,0.402959,0.451800,0.043541,0.455947,23.709180,1.345002,23.228511,116.907085,12.588045,102.648429,0.472180,0.076939,0.436057,0.329180,0.050265,0.371674,23.584160,1.190370,23.234236
2600,63.443378,13.078448,87.071150,0.450220,0.082457,0.414775,0.419720,0.031212,0.446890,23.574420,0.986759,23.314988,104.955309,27.304416,103.225149,0.516820,0.050431,0.456248,0.358900,0.034242,0.368480,23.281060,1.246283,23.245942
2700,81.091103,32.367111,85.576139,0.456000,0.091243,0.425081,0.420320,0.039048,0.440247,22.788580,0.900425,23.183386,96.785077,11.906958,101.615131,0.516300,0.039027,0.471261,0.362720,0.027819,0.367040,23.845900,1.492335,23.395931
2800,92.375877,22.552561,87.276073,0.422820,0.043781,0.424516,0.422380,0.059139,0.435781,22.736660,0.342668,23.071705,105.959979,13.580142,102.701343,0.488520,0.067013,0.475576,0.352460,0.050634,0.363395,23.325480,0.514604,23.378319
2900,83.338446,11.664253,86.291666,0.468480,0.057967,0.435507,0.436300,0.041726,0.435910,23.691100,1.175443,23.226554,111.105094,22.312311,104.802281,0.476080,0.032552,0.475702,0.353800,0.011500,0.360996,23.280700,0.804710,23.353914
3000,74.801693,19.244876,83.419173,0.452540,0.056633,0.439765,0.461740,0.064399,0.442368,23.655960,0.946396,23.333905,101.662172,7.325127,104.017253,0.505620,0.056477,0.483181,0.353500,0.030281,0.359122,23.834340,0.963410,23.474020
3100,78.092790,8.738639,82.087577,0.453020,0.064700,0.443079,0.408120,0.056238,0.433806,23.897740,0.994063,23.474864,78.452027,15.380471,97.625947,0.534380,0.060382,0.495981,0.351640,0.028765,0.357252,23.957400,0.652465,23.594865
3200,106.594525,25.789537,88.214314,0.499760,0.043627,0.457249,0.342900,0.054742,0.411079,23.509500,1.305125,23.483523,105.437632,12.757223,99.578868,0.539740,0.041944,0.506921,0.290780,0.049517,0.340634,23.384560,0.580601,23.542289
3300,115.883541,30.785273,95.131621,0.492540,0.077751,0.466072,0.431620,0.084671,0.416215,24.073800,1.104676,23.631092,113.972160,22.788948,103.177191,0.572720,0.038001,0.523371,0.337000,0.056085,0.339725,24.423320,0.746971,23.762547
