init,     2026-03-30 11:58:32.101730
arguments,Namespace(PPO_epochs=5, alg='ppo', cuda=0, entropy=0.1, eps_clip=0.2, gamma=0.97, gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hid_group_num=8, hid_group_size=8, hidden_num=64, ignore_checkpoint=True, lr=0.001, model='rwtaspk', monitor_time=False, optimizer='rmsprop', rep=11, response_window=40, road_scenario='highway', rwta_del_connection='none', skip_post_tests=True, snn_num_steps=15, task='gymip', thread=4, traffic_level='standard', train_num=2000)
model_dir,/root/autodl-tmp/SVPG2023/LANE/log_model/highway_standard
train,    260, 77.978064
train,    261, 87.615248
train,    262, 98.038932
train,    263, 98.381038
train,    264, 91.623143
train,    265, 94.412617
train,    266, 83.331038
train,    267, 89.228406
train,    268, 94.412617
train,    269, 88.886301
train,    270, 99.938932
train,    271, 100.281038
train,    272, 99.938932
train,    273, 94.412617
train,    274, 84.386301
train,    275, 94.754722
train,    276, 84.044196
train,    277, 99.938932
train,    278, 98.988932
train,    279, 99.331038
train,    280, 89.228406
train,    281, 99.331038
train,    282, 94.754722
train,    283, 82.409985
train,    284, 88.886301
train,    285, 95.096827
train,    286, 89.228406
train,    287, 91.531038
train,    288, 83.359985
train,    289, 99.938932
train,    290, 94.412617
train,    291, 99.938932
train,    292, 83.359985
train,    293, 94.754722
train,    294, 100.281038
train,    295, 94.754722
train,    296, 96.625774
train,    297, 83.702090
train,    298, 94.754722
train,    299, 83.359985
val_save, 299,   83.586513
val,      299,   83.586513,   83.359985
train,    300, 84.931038
train,    301, 89.570511
train,    302, 84.386301
train,    303, 83.359985
train,    304, 83.359985
train,    305, 89.228406
train,    306, 84.728406
train,    307, 99.938932
train,    308, 83.359985
train,    309, 83.359985
train,    310, 84.386301
train,    311, 83.702090
train,    312, 98.031038
train,    313, 83.359985
train,    314, 83.702090
train,    315, 90.736301
train,    316, 91.554722
train,    317, 91.144196
train,    318, 89.831038
train,    319, 81.459985
train,    320, 96.936301
train,    321, 90.846827
train,    322, 98.988932
train,    323, 94.928064
train,    324, 83.359985
train,    325, 99.938932
train,    326, 89.565248
train,    327, 85.809985
train,    328, 99.938932
train,    329, 83.702090
train,    330, 99.938932
train,    331, 83.359985
train,    332, 95.438932
train,    333, 99.938932
train,    334, 94.754722
train,    335, 94.412617
train,    336, 89.570511
train,    337, 97.857353
train,    338, 83.702090
train,    339, 83.359985
train,    340, 83.359985
train,    341, 89.228406
train,    342, 88.820511
train,    343, -1.350106
train,    344, 83.702090
train,    345, 83.702090
train,    346, 88.886301
train,    347, 100.281038
train,    348, 83.359985
train,    349, 83.359985
train,    350, 83.702090
train,    351, 100.623143
train,    352, 88.886301
train,    353, 94.412617
train,    354, 95.438932
train,    355, 89.228406
train,    356, 95.394196
train,    357, 94.291564
train,    358, 95.581038
train,    359, 100.623143
train,    360, 94.412617
train,    361, 83.702090
train,    362, 95.438932
train,    363, 94.412617
train,    364, 94.754722
train,    365, 91.620511
train,    366, 94.754722
train,    367, 88.886301
train,    368, 92.920511
train,    369, 89.228406
train,    370, 88.886301
train,    371, 84.386301
train,    372, 89.570511
train,    373, 81.459985
train,    374, 83.702090
train,    375, 89.228406
train,    376, -5.150887
train,    377, 83.702090
train,    378, 84.044196
train,    379, 99.938932
train,    380, 100.281038
train,    381, 100.623143
train,    382, 87.673143
train,    383, -6.320106
train,    384, 82.409985
train,    385, 100.015248
