init,     2026-04-08 12:26:48.740703
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaspk', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    253, -38.573746
train,    254, -36.822073
train,    255, -33.485191
train,    256, -35.747106
train,    257, -35.253846
train,    258, -37.699193
train,    259, -35.755061
train,    260, -36.207209
train,    261, -35.939510
train,    262, -36.012331
train,    263, -35.492287
train,    264, -36.183830
train,    265, -36.704155
train,    266, -35.357282
train,    267, -35.391427
train,    268, -38.805831
train,    269, -35.375098
train,    270, -37.446314
train,    271, -36.705853
train,    272, -35.399832
train,    273, -35.370434
train,    274, -35.415600
train,    275, -35.177516
train,    276, -35.170298
train,    277, -35.173485
train,    278, -35.258575
train,    279, -35.172248
train,    280, -36.194136
train,    281, -36.266698
train,    282, -35.376933
train,    283, -35.781454
train,    284, -35.456384
train,    285, -35.348881
train,    286, -40.413199
train,    287, -36.183837
train,    288, -35.671006
train,    289, -35.304581
train,    290, -35.168940
train,    291, -35.261318
train,    292, -39.001107
train,    293, -36.262979
train,    294, -35.366395
train,    295, -36.116639
train,    296, -35.440404
train,    297, -35.292071
train,    298, -36.096330
train,    299, -36.399860
val_save, 299,   -35.293020
val,      299,   -35.293020,   -36.399860
train,    300, -38.405590
train,    301, -37.615121
train,    302, -41.787416
train,    303, -41.844025
train,    304, -35.844053
train,    305, -42.351028
train,    306, -38.889312
train,    307, -35.989583
train,    308, -37.134080
train,    309, -37.343279
train,    310, -36.659670
train,    311, -37.110303
train,    312, -35.982512
train,    313, -35.547638
train,    314, -35.169076
train,    315, -35.169956
train,    316, -35.952924
train,    317, -35.670342
train,    318, -35.418045
train,    319, -36.951841
train,    320, -35.366797
train,    321, -37.490771
train,    322, -35.444989
train,    323, -35.413466
train,    324, -36.204282
train,    325, -35.255271
train,    326, -39.041643
train,    327, -35.415315
train,    328, -35.399312
train,    329, -35.296450
train,    330, -35.172812
train,    331, -37.173069
train,    332, -41.468987
train,    333, -35.148093
train,    334, -38.368739
train,    335, -37.180872
train,    336, -43.182225
train,    337, -36.080384
train,    338, -35.872907
train,    339, -37.417296
train,    340, -35.849171
train,    341, -36.831051
train,    342, -37.665741
train,    343, -35.854317
train,    344, -38.258393
train,    345, -35.962165
train,    346, -36.051764
train,    347, -35.475191
train,    348, -36.307096
train,    349, -38.863323
train,    350, -37.704341
train,    351, 31.815714
train,    352, -40.895982
train,    353, -37.811732
train,    354, -43.198038
train,    355, -38.360686
train,    356, -38.149492
train,    357, -44.116875
train,    358, -35.357841
train,    359, -39.254805
train,    360, -40.117379
train,    361, -38.824394
train,    362, -42.017180
train,    363, -43.786365
train,    364, -38.538207
train,    365, -40.409266
train,    366, -38.498201
train,    367, -37.144030
train,    368, -38.142282
train,    369, -37.996259
train,    370, -43.702022
train,    371, -36.549550
train,    372, -36.923332
train,    373, -40.500239
train,    374, -39.451166
train,    375, -38.001924
train,    376, -38.115289
train,    377, -38.171721
train,    378, -42.143279
train,    379, -43.707095
train,    380, -42.192363
train,    381, -38.133819
train,    382, -36.583685
train,    383, -43.557942
train,    384, -38.013647
train,    385, -39.506733
train,    386, -37.897432
train,    387, -37.719843
train,    388, -39.183021
train,    389, -37.830487
train,    390, -43.596024
train,    391, -40.113134
train,    392, -38.086439
resume,   2026-04-08 13:35:36.911148
train,    393, -57.076351
train,    394, -52.225020
train,    395, -47.229913
train,    396, -52.014681
train,    397, -47.391614
train,    398, -50.120124
train,    399, -50.592121
val,      399,   -56.453782,   -50.592121
train,    400, -50.584359
train,    401, -49.911609
train,    402, -50.907272
train,    403, -47.042134
train,    404, -48.583782
train,    405, -44.660259
train,    406, -57.959557
train,    407, -48.309359
train,    408, -48.001251
train,    409, -43.200257
train,    410, -43.436581
train,    411, -44.637752
train,    412, -46.491507
train,    413, -43.169369
train,    414, -43.166608
train,    415, -44.801098
train,    416, -49.865322
train,    417, -48.604993
train,    418, -46.496441
train,    419, -52.879070
train,    420, -48.150039
train,    421, -46.488975
train,    422, -44.649458
train,    423, -43.251075
train,    424, -45.088772
train,    425, -47.839268
train,    426, -47.644531
train,    427, -48.810297
train,    428, -43.255192
train,    429, -48.386561
train,    430, -43.371513
train,    431, -44.939491
train,    432, -44.656236
train,    433, -53.156356
train,    434, -48.097790
train,    435, -53.700884
train,    436, -44.843684
train,    437, -56.240560
train,    438, -44.204951
train,    439, -50.311661
train,    440, -44.600666
train,    441, -44.794631
train,    442, -53.040619
train,    443, -43.244215
train,    444, -44.843798
train,    445, -45.002274
train,    446, -44.751832
train,    447, -44.964158
train,    448, -46.239846
train,    449, -49.958100
train,    450, -48.996711
train,    451, -48.179714
train,    452, -47.387491
train,    453, -51.190536
train,    454, -48.949799
train,    455, -43.530282
train,    456, -51.348626
train,    457, -47.697935
train,    458, -55.766636
train,    459, -47.606303
train,    460, -44.673338
train,    461, -51.986053
train,    462, -51.660272
train,    463, -55.760399
train,    464, -57.356626
train,    465, -47.282528
train,    466, -45.757118
train,    467, -59.733516
train,    468, -49.350777
train,    469, -48.943538
train,    470, -50.228542
train,    471, -47.831072
train,    472, -54.660125
train,    473, -50.863593
train,    474, -53.592622
train,    475, -46.404806
train,    476, -57.366445
train,    477, -51.153703
train,    478, -47.702603
train,    479, -51.438499
train,    480, -47.290235
train,    481, -48.680136
train,    482, -53.112435
train,    483, -52.180988
resume,   2026-04-08 13:43:32.373215
train,    484, -83.316956
train,    485, -86.103275
train,    486, -63.777040
train,    487, -65.394675
train,    488, -77.697384
train,    489, -67.192069
train,    490, -65.921089
train,    491, -66.570021
train,    492, -58.343438
train,    493, -74.445001
train,    494, -78.160827
train,    495, -67.295818
train,    496, -77.757010
train,    497, -71.760539
train,    498, -77.197570
train,    499, -64.851995
val,      499,   -77.616577,   -64.851995
train,    500, -72.949976
train,    501, -75.129824
train,    502, -71.366929
train,    503, -65.326224
train,    504, 6.891790
train,    505, -85.407302
train,    506, -80.934866
train,    507, -74.109421
train,    508, -76.412191
train,    509, -75.001126
train,    510, -85.333928
train,    511, -74.986532
train,    512, -72.477678
train,    513, -72.046468
train,    514, -85.397040
train,    515, -73.569960
train,    516, -72.871892
train,    517, -82.722306
train,    518, -75.252961
train,    519, -72.813664
train,    520, -78.454876
train,    521, -72.854522
train,    522, -77.468403
train,    523, -71.812503
train,    524, -75.007842
train,    525, -72.900911
train,    526, -71.750814
train,    527, -85.479145
train,    528, -64.860190
train,    529, -71.870908
train,    530, -72.621381
train,    531, -71.210655
train,    532, -65.249128
train,    533, -72.075699
train,    534, -82.778731
train,    535, 31.477043
train,    536, -65.367719
train,    537, -69.608757
train,    538, -76.317276
train,    539, -71.287473
train,    540, -77.192800
train,    541, -77.500539
train,    542, -74.600383
train,    543, -85.479145
train,    544, -85.397040
train,    545, -71.861029
train,    546, -71.991924
train,    547, -71.938141
train,    548, -72.970604
train,    549, -79.130566
train,    550, -85.397040
train,    551, -72.699441
train,    552, -85.405771
train,    553, 26.703234
train,    554, -55.905281
train,    555, 35.648096
train,    556, -73.333129
train,    557, -85.397040
train,    558, -67.148511
train,    559, -72.003633
train,    560, 30.302994
train,    561, -50.525811
train,    562, -75.630930
train,    563, 35.191188
train,    564, -77.311354
train,    565, 42.850811
train,    566, 41.075508
train,    567, -62.640407
train,    568, 28.748371
train,    569, 33.341347
train,    570, 30.201214
train,    571, 41.981190
train,    572, 29.528543
train,    573, -53.328138
train,    574, -61.998778
train,    575, -48.004384
train,    576, 32.293382
train,    577, -42.131737
train,    578, 32.648652
train,    579, 22.560949
train,    580, -64.417268
train,    581, -54.091244
train,    582, 15.742537
train,    583, -43.523913
train,    584, 26.882711
train,    585, 31.562279
train,    586, 40.035958
train,    587, -44.504296
train,    588, 44.133449
train,    589, 29.326737
train,    590, -63.459108
train,    591, 31.626630
train,    592, -52.599752
train,    593, 40.477965
train,    594, -51.303901
train,    595, 30.943523
train,    596, 40.162526
train,    597, -52.607912
train,    598, -51.157555
train,    599, -50.584763
val_save, 599,   -50.720939
val,      599,   -50.720939,   -50.584763
train,    600, -54.102718
train,    601, 31.809623
train,    602, -42.754659
train,    603, 28.932386
train,    604, 32.154184
train,    605, -50.403996
train,    606, -44.735289
train,    607, 30.532476
train,    608, 31.307402
train,    609, 34.619128
train,    610, -50.850025
train,    611, -45.618071
train,    612, 40.195859
train,    613, -50.584776
train,    614, 18.717823
train,    615, 36.150279
train,    616, 39.438644
train,    617, -52.340743
train,    618, -50.784321
train,    619, -50.849927
train,    620, -51.374899
train,    621, -50.749524
train,    622, -54.351393
train,    623, -50.269399
train,    624, 28.864185
train,    625, -51.587018
train,    626, -50.403891
train,    627, 36.242863
train,    628, -50.584832
train,    629, -50.584754
train,    630, -51.665889
train,    631, -50.782113
train,    632, -53.031035
train,    633, -47.790046
train,    634, -51.340149
train,    635, -50.757305
train,    636, -50.824132
train,    637, 28.841818
train,    638, 36.329921
train,    639, 35.509079
train,    640, -50.584836
train,    641, -51.683020
train,    642, -43.189143
train,    643, -55.792673
train,    644, 36.250927
train,    645, -50.846385
train,    646, 36.157401
train,    647, -52.813535
train,    648, 28.948699
train,    649, -50.849947
train,    650, 43.583170
train,    651, -50.540978
train,    652, 28.920125
train,    653, 41.197802
train,    654, 29.492064
train,    655, 32.741491
train,    656, 32.908383
train,    657, 24.484481
train,    658, -66.038684
train,    659, -64.913568
train,    660, -61.045513
train,    661, -68.070497
train,    662, -67.413272
train,    663, -75.120455
train,    664, 35.135582
train,    665, 15.934124
train,    666, -55.055921
train,    667, -79.270188
train,    668, 30.116230
train,    669, 22.516123
train,    670, 17.389817
train,    671, 42.594853
train,    672, -64.268916
train,    673, 6.372999
train,    674, -75.226868
train,    675, 34.990887
train,    676, 27.327932
train,    677, -75.111976
train,    678, -71.790875
train,    679, 22.607760
train,    680, 6.937201
train,    681, 31.516999
train,    682, 22.547716
train,    683, 24.111036
train,    684, -85.487870
train,    685, -71.925995
train,    686, -71.904152
train,    687, 27.524013
train,    688, -68.240669
train,    689, -85.405770
train,    690, -72.171072
train,    691, 26.017624
train,    692, -85.397040
train,    693, 24.336123
train,    694, -72.009898
train,    695, -75.332199
train,    696, -83.157132
train,    697, 14.196496
train,    698, -71.630967
train,    699, -71.441513
val,      699,   -78.115305,   -71.441513
train,    700, -85.479145
train,    701, -72.540647
train,    702, 33.215779
train,    703, 32.160639
train,    704, -51.432204
train,    705, -51.821353
train,    706, 36.330152
train,    707, -50.336358
train,    708, 39.249544
train,    709, -50.584836
train,    710, -50.849955
train,    711, -43.189441
train,    712, -50.584756
train,    713, 39.564982
train,    714, -50.905504
train,    715, -50.584808
train,    716, 39.249544
train,    717, -50.706616
train,    718, -50.850524
train,    719, -50.584759
train,    720, -50.830308
train,    721, -50.711961
train,    722, -50.849998
train,    723, 31.219745
train,    724, -43.189395
train,    725, 31.418544
train,    726, -51.174529
train,    727, -50.849969
train,    728, -50.788086
train,    729, -50.749601
train,    730, -50.848456
train,    731, -50.850041
train,    732, -50.857830
train,    733, -51.548861
train,    734, 32.172744
train,    735, -50.811785
train,    736, -50.711709
train,    737, -48.438850
train,    738, -50.811682
train,    739, -50.838357
train,    740, 39.249544
train,    741, -41.306253
train,    742, -51.416305
train,    743, -50.850058
train,    744, -50.802168
train,    745, -50.848354
train,    746, -50.803044
train,    747, -46.459039
train,    748, -50.793042
train,    749, -47.732590
train,    750, -50.778351
train,    751, -50.797999
train,    752, 42.093658
train,    753, -54.286127
train,    754, 23.579130
train,    755, 25.378360
train,    756, -78.310148
train,    757, -85.479145
train,    758, 27.277030
train,    759, 31.250478
train,    760, -85.397040
train,    761, -71.859099
train,    762, 7.017599
train,    763, -85.405768
train,    764, 33.548272
train,    765, 30.497309
train,    766, 31.782002
train,    767, -50.086289
train,    768, -50.136336
train,    769, -50.910049
train,    770, -55.127045
train,    771, -50.269366
train,    772, -50.682657
train,    773, -50.825412
train,    774, -50.749623
train,    775, -50.813551
train,    776, -50.785333
train,    777, -50.966593
train,    778, -54.235911
train,    779, -50.821888
train,    780, -50.778413
train,    781, -50.584837
train,    782, -50.843820
train,    783, -50.584748
train,    784, 31.444083
train,    785, -54.103117
train,    786, -50.713226
train,    787, -50.850028
train,    788, -50.768898
train,    789, -50.584804
train,    790, -50.814573
train,    791, 36.329377
train,    792, -50.821498
train,    793, -50.779854
train,    794, -50.648995
train,    795, -51.801847
train,    796, -51.173923
train,    797, -50.713777
train,    798, -50.012073
train,    799, -58.709729
val,      799,   -50.732598,   -58.709729
train,    800, 28.616484
train,    801, 29.731015
train,    802, -57.100520
train,    803, 31.921211
train,    804, -86.385989
train,    805, -52.906102
train,    806, 23.623738
train,    807, 22.972394
train,    808, -65.048628
train,    809, 43.456788
train,    810, -71.494554
train,    811, -56.047541
train,    812, -58.546033
train,    813, -51.629252
train,    814, -57.220749
train,    815, -49.711496
train,    816, -77.264492
train,    817, -65.883293
train,    818, 30.370622
train,    819, -55.881698
train,    820, 36.175358
train,    821, -55.982898
train,    822, -68.141667
train,    823, -55.799561
train,    824, -61.180907
train,    825, -52.525963
train,    826, -67.186825
train,    827, -62.817669
train,    828, -58.056231
train,    829, -58.214442
train,    830, -61.459299
train,    831, -61.641510
train,    832, -0.000344
train,    833, -61.211111
train,    834, -55.359370
train,    835, -65.275008
train,    836, -55.974174
train,    837, -0.524542
train,    838, -48.505273
train,    839, -57.948390
train,    840, -55.393134
train,    841, -55.715685
train,    842, -52.056809
train,    843, -66.228026
train,    844, -68.048524
train,    845, -66.497413
train,    846, -60.879133
train,    847, -59.014895
train,    848, -62.570730
train,    849, -75.925619
train,    850, -64.167332
train,    851, -77.500557
