init,     2026-04-08 14:20:08.315999
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaprob', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    253, -60.244868
train,    254, -60.643895
train,    255, -60.946785
train,    256, -60.262422
train,    257, -60.321800
train,    258, -60.579651
train,    259, -60.055571
train,    260, -60.135804
train,    261, -60.058829
train,    262, -60.297693
train,    263, -60.296661
train,    264, -60.055496
train,    265, -60.310772
train,    266, -60.284894
train,    267, -60.257922
train,    268, -60.280031
train,    269, -60.140679
train,    270, -60.190007
train,    271, -60.281220
train,    272, -60.316469
train,    273, -60.058832
train,    274, -60.053246
train,    275, -59.922760
train,    276, -60.251881
train,    277, -59.784985
train,    278, -60.251228
train,    279, -60.058859
train,    280, -60.140459
train,    281, -60.258396
train,    282, -60.056270
train,    283, -60.052660
train,    284, -60.367142
train,    285, -60.190613
train,    286, -60.052577
train,    287, -60.055106
train,    288, -60.287288
train,    289, -60.181997
train,    290, -60.058867
train,    291, -60.053423
train,    292, -60.292928
train,    293, -60.053654
train,    294, -60.053735
train,    295, -60.053352
train,    296, -60.058900
train,    297, -60.056247
train,    298, -60.052502
train,    299, -60.221033
val_save, 299,   -60.140624
val,      299,   -60.140624,   -60.221033
train,    300, -60.227657
train,    301, -60.260088
train,    302, -60.269659
train,    303, -60.053332
train,    304, -60.056492
train,    305, -60.058939
train,    306, -60.146884
train,    307, -60.312309
train,    308, -60.179108
train,    309, -60.289584
train,    310, -60.053064
train,    311, -60.053121
train,    312, -60.053670
train,    313, -60.053456
train,    314, -60.055390
train,    315, -60.052990
train,    316, -60.052628
train,    317, -60.181590
train,    318, -60.236721
train,    319, -60.188534
train,    320, -60.276310
train,    321, -60.272008
train,    322, -60.226693
train,    323, -60.277365
train,    324, -60.053644
train,    325, -60.243932
train,    326, -60.188923
train,    327, -60.299801
train,    328, -60.246780
train,    329, -60.055241
train,    330, -60.277500
train,    331, -60.056444
train,    332, -60.053991
train,    333, -60.057228
train,    334, -60.234190
train,    335, -60.260627
train,    336, -60.221156
train,    337, -60.184894
train,    338, -60.185753
train,    339, -60.055618
train,    340, -60.269115
