run_kind,scenario_dir,label,log_file,num_val_points,best_return_episode,best_mean_return,best_return_steps,final_episode,final_mean_return,final_mean_steps,smoothed_final_return
baseline,highway_standard,Baseline,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000700_0.30_0.99800_4_0.1500_roadhighway_tfstandard_rep42.txt,53,1099,251.9559,124.6000,1324,99.9974,50.8000,128.3929
ours,highway_standard,Ours,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000400_0.28_0.99800_4_0.1200_ro768_mb192_lam0.99_rs0.90_gc0.40_adaptive_roadhighway_tfstandard_seed37.txt,27,24,262.1340,124.2000,674,78.2820,36.4000,133.2619
