episode,timesteps,is_best,mean_return,mean_return_smooth,success_rate,success_rate_smooth,collision_rate,collision_rate_smooth,mean_speed,mean_speed_smooth
669,669,0,16.170924,12.710336,0.691800,0.610481,0.428300,0.376170,20.714100,20.653271
679,679,0,16.537734,13.667185,0.592900,0.606086,0.342100,0.367652,20.666500,20.656578
689,689,0,22.000082,15.750410,0.612200,0.607615,0.339800,0.360689,20.552200,20.630484
699,699,0,17.254278,16.126377,0.592100,0.603736,0.320500,0.350642,20.631600,20.630763
709,709,0,19.421293,16.950106,0.574100,0.596327,0.313200,0.341281,20.776600,20.667222
719,719,0,14.072791,16.230777,0.667300,0.614070,0.337300,0.340286,20.625500,20.656792
729,729,0,14.350321,15.760663,0.618300,0.615128,0.321700,0.335640,20.590500,20.640219
739,739,0,12.198858,14.870212,0.593300,0.609671,0.308100,0.328755,20.649100,20.642439
749,749,0,16.713715,15.331088,0.628400,0.614353,0.313000,0.324816,20.766800,20.673529
759,759,0,15.156902,15.287541,0.653500,0.624140,0.329500,0.325987,20.687300,20.676972
769,769,0,25.222574,17.771299,0.662500,0.633730,0.268600,0.311640,20.670700,20.675404
779,779,0,23.879966,19.298466,0.626700,0.631972,0.342900,0.319455,20.702200,20.682103
789,789,0,26.985367,21.220191,0.636100,0.633004,0.308200,0.316641,20.628300,20.668652
799,799,0,21.765084,21.356414,0.615400,0.628603,0.298700,0.312156,20.634600,20.660139
809,809,0,20.540261,21.152376,0.661100,0.636727,0.307800,0.311067,20.660200,20.660154
819,819,0,15.143875,19.650251,0.648200,0.639596,0.290900,0.306025,20.588100,20.642141
829,829,0,14.413613,18.341091,0.679900,0.649672,0.259800,0.294469,20.652400,20.644706
839,839,0,18.199002,18.305569,0.688500,0.659379,0.298700,0.295527,20.648700,20.645704
849,849,0,17.447665,18.091093,0.627800,0.651484,0.297200,0.295945,20.741300,20.669603
859,859,0,24.095425,19.592176,0.636700,0.647788,0.338300,0.306534,20.598300,20.651777
869,869,0,22.780399,20.389232,0.623000,0.641591,0.362400,0.320500,20.761800,20.679283
879,879,0,21.486060,20.663439,0.656700,0.645368,0.325400,0.321725,20.599100,20.659237
889,889,0,19.285441,20.318939,0.617000,0.638276,0.320600,0.321444,20.598900,20.644153
899,899,0,15.909754,19.216643,0.634700,0.637382,0.282100,0.311608,20.567300,20.624940
909,909,0,15.209686,18.214904,0.623500,0.633912,0.289000,0.305956,20.731300,20.651530
919,919,0,17.884880,18.132398,0.651400,0.638284,0.318800,0.309167,20.714000,20.667147
929,929,0,18.312230,18.177356,0.641100,0.638988,0.286000,0.303375,20.619300,20.655186
939,939,0,19.758557,18.572656,0.692600,0.652391,0.298900,0.302256,20.697100,20.665664
949,949,0,23.856012,19.893495,0.678600,0.658943,0.274800,0.295392,20.689800,20.671698
959,959,0,23.556541,20.809257,0.673100,0.662482,0.252400,0.284644,20.754900,20.692499
969,969,0,25.267646,21.923854,0.651000,0.659612,0.247500,0.275358,20.675600,20.688274
979,979,0,27.091280,23.215710,0.648800,0.656909,0.330500,0.289144,20.719500,20.696080
989,989,0,26.538992,24.046531,0.668100,0.659707,0.323900,0.297833,20.655800,20.686010
