episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
229,-7.299573,2.721037,-7.864620,0.356900,0.027902,0.295979,0.615233,0.081561,0.622779,20.173200,0.085195,20.153856,-4.388771,2.585123,-5.714457,0.417733,0.033420,0.401228,0.547300,0.024622,0.548385,20.408433,0.059256,20.442508
239,-11.441347,3.648118,-8.758802,0.303333,0.016383,0.297818,0.598267,0.033424,0.616651,20.101433,0.048437,20.140750,-0.457428,3.012286,-4.400200,0.411133,0.035562,0.403705,0.522633,0.037761,0.541947,20.475367,0.060570,20.450723
249,-8.219216,2.986566,-8.623905,0.267600,0.017781,0.290263,0.566667,0.003442,0.604155,20.153100,0.100892,20.143838,-2.199934,5.977614,-3.850134,0.406633,0.047252,0.404437,0.512800,0.039476,0.534660,20.443300,0.064283,20.448867
259,-8.521979,1.571178,-8.598424,0.280567,0.025853,0.287839,0.576700,0.029091,0.597291,20.144033,0.033239,20.143887,-4.399343,5.149189,-3.987436,0.393267,0.047673,0.401644,0.521067,0.034337,0.531262,20.431267,0.100900,20.444467
269,-1.445359,2.859829,-6.810158,0.320733,0.034334,0.296063,0.600467,0.052978,0.598085,20.184000,0.075348,20.153915,-3.587995,6.813791,-3.887576,0.450333,0.056585,0.413817,0.497833,0.054245,0.522905,20.446733,0.120998,20.445034
279,-2.275004,4.697491,-5.676369,0.304800,0.012380,0.298247,0.589500,0.025348,0.595939,20.186433,0.098561,20.162045,-0.829104,1.474248,-3.122958,0.438667,0.042560,0.420029,0.533933,0.057621,0.525662,20.462133,0.057756,20.449308
289,4.975614,1.905212,-3.013373,0.317867,0.012437,0.303152,0.618933,0.030214,0.601687,20.165000,0.083279,20.162783,-1.893982,7.037612,-2.815714,0.406600,0.021660,0.416672,0.498100,0.028136,0.518771,20.475233,0.145751,20.455790
299,2.702585,5.960674,-1.584384,0.312200,0.023000,0.305414,0.594900,0.039957,0.599991,20.177467,0.053128,20.166454,1.697025,5.023815,-1.687529,0.487967,0.028252,0.434496,0.474467,0.039601,0.507695,20.468600,0.094223,20.458992
309,4.466056,3.512892,-0.071774,0.299233,0.009241,0.303869,0.599033,0.019807,0.599751,20.187267,0.074466,20.171657,4.633773,5.989411,-0.107204,0.421600,0.031681,0.431272,0.490600,0.052321,0.503421,20.436667,0.089172,20.453411
319,-0.930792,3.135112,-0.286528,0.380867,0.008145,0.323118,0.592433,0.013413,0.597922,20.168500,0.033093,20.170868,7.860130,5.774646,1.884630,0.437167,0.032173,0.432745,0.531333,0.072389,0.510399,20.521467,0.114327,20.470425
329,-3.060282,1.578957,-0.979967,0.313600,0.038885,0.320739,0.573867,0.010003,0.591908,20.197967,0.074649,20.177643,5.767895,1.911085,2.855446,0.435600,0.053767,0.433459,0.486133,0.034707,0.504333,20.454033,0.142826,20.466327
339,-5.645729,1.505553,-2.146407,0.340767,0.040528,0.325746,0.610233,0.018135,0.596489,20.133267,0.149798,20.166549,7.382672,3.312529,3.987253,0.467900,0.038550,0.442069,0.529167,0.048405,0.510541,20.481200,0.097909,20.470045
349,-6.133134,5.216575,-3.143089,0.330933,0.027171,0.327043,0.587633,0.046417,0.594275,20.230867,0.102100,20.182628,1.862047,2.694610,3.455951,0.468867,0.046574,0.448769,0.514267,0.017293,0.511473,20.487767,0.065578,20.474476
359,-10.365825,2.199644,-4.948773,0.320600,0.015975,0.325432,0.532167,0.029897,0.578748,20.181133,0.085695,20.182254,0.051186,5.253839,2.604760,0.448233,0.067973,0.448635,0.485867,0.029919,0.505071,20.453167,0.077203,20.469148
369,-5.985740,1.734642,-5.208015,0.358033,0.038197,0.333582,0.526667,0.018059,0.565728,20.147233,0.116548,20.173499,1.457224,2.110983,2.317876,0.481333,0.037598,0.456809,0.483600,0.038479,0.499703,20.510567,0.100105,20.479503
