episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
599,46.957249,4.799390,18.340020,0.376433,0.051740,0.347065,0.517800,0.027367,0.481079,9.433400,0.455470,9.456049,46.140970,19.134041,27.526578,0.491867,0.041635,0.405268,0.478733,0.056760,0.521024,9.329800,0.448440,9.807534
624,38.538079,2.011038,23.389535,0.395100,0.070073,0.359074,0.427633,0.031428,0.467718,9.541567,0.355401,9.477429,46.890053,1.970060,32.367447,0.461333,0.055042,0.419284,0.438200,0.031325,0.500318,10.339800,0.639285,9.940601
649,12.525428,6.841059,20.673508,0.412733,0.024430,0.372489,0.312800,0.030651,0.428988,9.390667,0.625866,9.455738,11.970768,14.121352,27.268277,0.410500,0.067524,0.417088,0.426967,0.027965,0.481980,9.950267,0.551853,9.943017
674,-21.725962,12.951868,10.073640,0.408133,0.026089,0.381400,0.437667,0.020561,0.431158,9.921700,0.868599,9.572229,-12.509162,25.709060,17.323917,0.374233,0.020296,0.406374,0.425000,0.115180,0.467735,10.935233,0.836892,10.191071
699,-25.491430,7.866955,1.182373,0.408000,0.038803,0.388050,0.433200,0.057229,0.431668,10.194933,0.653355,9.727905,3.110431,4.535018,13.770546,0.492033,0.080181,0.427789,0.377367,0.018693,0.445143,11.282767,0.513714,10.463995
724,-6.755066,9.000616,-0.801987,0.418833,0.012590,0.395746,0.347067,0.068648,0.410518,10.361033,0.455206,9.886187,10.539228,27.324056,12.962716,0.547600,0.050652,0.457742,0.334400,0.078670,0.417457,10.861233,1.442056,10.563305
749,30.168221,9.622412,6.940565,0.398200,0.011615,0.396359,0.401333,0.062183,0.408222,11.076500,0.423692,10.183765,23.679202,21.971941,15.641838,0.496567,0.051099,0.467448,0.376500,0.075856,0.407218,11.196767,0.749430,10.721670
774,15.746953,4.814513,9.142162,0.467700,0.129712,0.414195,0.326267,0.104922,0.387733,9.968167,1.234534,10.129866,21.661037,7.402877,17.146638,0.519367,0.073642,0.480428,0.433000,0.047969,0.413663,11.215067,0.468079,10.845019
799,14.148385,17.063434,10.393718,0.371033,0.047669,0.403404,0.373533,0.066871,0.384183,10.077533,0.433776,10.116783,6.016700,27.261096,14.364153,0.560967,0.087700,0.500562,0.419667,0.058024,0.415164,11.206267,0.676123,10.935331
824,-8.481730,7.516725,5.674856,0.429933,0.049323,0.410036,0.381600,0.033464,0.383537,10.440033,0.372145,10.197595,-13.407310,17.105081,7.421287,0.569867,0.082684,0.517889,0.358700,0.042908,0.401048,11.724200,0.310380,11.132548
