run_kind,scenario_dir,label,log_file,num_val_points,best_return_episode,best_mean_return,best_return_steps,final_episode,final_mean_return,final_mean_steps,smoothed_final_return
baseline,roundabout,Baseline,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.001000_0.10_0.97000_5_0.2000_roadroundabout_tfstandard_rep11.txt,19,1599,48.4725,36.1000,1999,24.5965,31.4000,18.3182
ours,roundabout,Ours,log_ppo_gymip_rwtaspk_h8-8-40_none_rmsprop_0.000500_2.00_0.99500_4_0.1500_ro512_mb128_lam0.97_rs1.00_gc0.50_adaptive_roadroundabout_tfstandard_seed34.txt,80,1074,59.6423,10.6000,1999,18.9427,11.8000,-0.5956
