train,    41, -12.826355,    1, 1.00,    0, 0.000, 0.000, 0.100, 39
train,    42, -12.828105,    1, 1.00,    0, 0.000, 0.000, 0.100, 40
train,    43, -11.918429,    1, 1.00,    0, 0.000, 0.000, 0.100, 40
train,    44, -11.793747,    1, 1.00,    0, 0.000, 0.000, 0.100, 40
train,    45, 8.183181,    5, 1.00,    2, 0.000, 0.000, 0.100, 40
train,    46, -11.805647,    1, 1.00,    0, 0.000, 0.000, 0.100, 40
train,    47, -13.359252,    1, 1.00,    1, 0.000, 0.000, 0.100, 40
train,    48, -13.138632,    2, 1.00,    1, 0.000, 0.000, 0.100, 40
train,    49, -12.710511,    1, 1.00,    0, 0.000, 0.000, 0.100, 40
val,      49, -7.268697, 1.0000,   4.2000,   0.0000, 0.0000,  23.6180
train,    50, -11.710898,    1, 1.00,    0, 0.000, 0.000, 0.100, 40
train,    51, -11.325893,    1, 1.00,    0, 0.000, 0.000, 0.100, 40
train,    52, -12.848274,    1, 1.00,    0, 0.000, 0.000, 0.100, 40
train,    53, -6.175658,    3, 1.00,    2, 0.000, 0.000, 0.100, 40
train,    54, -7.505765,    3, 1.00,    3, 0.000, 0.000, 0.100, 41
train,    55, -13.717464,    2, 1.00,    1, 0.000, 0.000, 0.100, 41
train,    56, -6.148666,    4, 1.00,    2, 0.000, 0.000, 0.100, 41
train,    57, -12.826371,    1, 1.00,    0, 0.000, 0.000, 0.100, 41
train,    58, 8.077447,    6, 1.00,    5, 0.000, 0.000, 0.100, 41
train,    59, -1.677405,    4, 1.00,    1, 0.000, 0.000, 0.100, 41
train,    60, -1.014979,   12, 1.00,    2, 0.000, 0.000, 0.100, 41
train,    61, -13.014042,    1, 1.00,    0, 0.000, 0.000, 0.100, 41
train,    62, 5.011454,    4, 1.00,    2, 0.000, 0.000, 0.100, 41
train,    63, -14.002254,    2, 1.00,    0, 0.000, 0.000, 0.100, 41
train,    64, -8.219630,    3, 1.00,    1, 0.000, 0.000, 0.100, 41
train,    65, -11.693237,    1, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    66, -13.967616,    2, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    67, 13.678397,    6, 1.00,    2, 0.000, 0.000, 0.100, 42
train,    68, -11.805647,    1, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    69, -12.555106,    2, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    70, -11.828414,    1, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    71, -12.834764,    1, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    72, -11.322500,    1, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    73, -11.808821,    1, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    74, -8.810456,    2, 1.00,    0, 0.000, 0.000, 0.100, 42
val,      74, -12.461269, 1.0000,   1.0000,   0.0000, 0.0000,  26.6633
train,    75, -11.636738,    1, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    76, -13.923776,    2, 1.00,    0, 0.000, 0.000, 0.100, 42
train,    77, -11.322500,    1, 1.00,    0, 0.000, 0.000, 0.100, 43
train,    78, -14.769966,    9, 1.00,    5, 0.000, 0.000, 0.100, 43
train,    79, -12.287488,    2, 1.00,    0, 0.000, 0.000, 0.100, 43
train,    80, -11.693384,    1, 1.00,    0, 0.000, 0.000, 0.100, 43
train,    81, -13.361446,    1, 1.00,    1, 0.000, 0.000, 0.100, 43
train,    82, 7.870806,    5, 1.00,    3, 0.000, 0.000, 0.100, 43
train,    83, -9.523380,    3, 1.00,    0, 0.000, 0.000, 0.100, 43
train,    84, -9.717175,    5, 1.00,    4, 0.000, 0.000, 0.100, 43
train,    85, -1.529943,    6, 1.00,    2, 0.000, 0.000, 0.100, 43
train,    86, -1.480489,    5, 1.00,    2, 0.000, 0.000, 0.100, 43
train,    87, 9.805194,    7, 1.00,    1, 0.000, 0.000, 0.100, 43
train,    88, -6.446949,    3, 1.00,    1, 0.000, 0.000, 0.100, 43
train,    89, 3.184215,    5, 1.00,    3, 0.000, 0.000, 0.100, 44
train,    90, -9.879927,    2, 1.00,    2, 0.000, 0.000, 0.100, 44
train,    91, -11.322500,    1, 1.00,    0, 0.000, 0.000, 0.100, 44
train,    92, -11.694888,    1, 1.00,    0, 0.000, 0.000, 0.100, 44
train,    93, 0.524906,    8, 1.00,    6, 0.000, 0.000, 0.100, 44
